recall per class ['0/0', '0/1', '5/6', '6/19', '0/0', '0/0', '76/102']
recall per class ['0/0', '1/1', '7/7', '3/10', '0/1', '0/0', '88/109']
recall per class ['0/0', '0/4', '3/6', '6/19', '0/2', '0/0', '74/97']
recall per class ['0/0', '0/0', '1/3', '9/23', '0/1', '0/0', '73/101']
recall per class ['0/0', '1/2', '3/6', '9/24', '0/1', '0/0', '77/95']
recall per class ['0/0', '0/2', '2/6', '7/14', '0/1', '0/0', '87/105']
recall per class ['0/0', '0/0', '4/6', '2/12', '0/1', '0/0', '86/109']
recall per class ['0/0', '1/4', '2/7', '6/20', '0/0', '0/0', '71/97']
recall per class ['0/0', '0/3', '0/5', '9/18', '0/0', '0/0', '75/102']
recall per class ['0/0', '0/3', '6/11', '6/24', '0/0', '0/0', '73/90']
recall per class ['0/0', '0/3', '6/14', '8/13', '0/0', '0/0', '76/98']
recall per class ['0/0', '0/4', '4/6', '3/14', '0/1', '0/0', '77/103']
recall per class ['0/0', '0/1', '3/5', '10/22', '0/1', '0/0', '62/99']
recall per class ['0/0', '0/3', '2/4', '9/14', '0/0', '0/0', '81/107']
recall per class ['0/0', '0/3', '4/9', '8/19', '0/4', '0/0', '76/93']
recall per class ['0/0', '0/1', '5/11', '6/13', '0/3', '0/0', '68/100']
recall per class ['0/0', '0/8', '3/8', '6/15', '0/1', '0/0', '73/96']
recall per class ['0/1', '0/2', '2/4', '11/23', '0/0', '0/0', '65/98']
recall per class ['0/0', '0/1', '2/6', '8/15', '0/0', '0/0', '84/106']
recall per class ['0/0', '0/1', '3/7', '4/12', '0/2', '0/0', '91/106']
recall per class ['0/0', '0/4', '2/7', '6/15', '0/1', '0/0', '77/101']
recall per class ['0/0', '0/2', '5/5', '3/17', '0/1', '0/0', '78/103']
recall per class ['0/0', '0/5', '2/5', '5/11', '0/1', '0/0', '83/106']
recall per class ['0/0', '0/1', '2/6', '6/16', '0/1', '0/0', '81/104']
recall per class ['0/0', '0/3', '2/6', '6/12', '0/2', '0/0', '79/105']
recall per class ['0/0', '0/4', '2/7', '6/22', '0/2', '0/0', '72/93']
recall per class ['0/0', '0/5', '4/9', '9/17', '0/0', '0/0', '77/97']
recall per class ['0/0', '0/2', '5/9', '1/12', '0/1', '0/0', '79/104']
recall per class ['0/0', '0/5', '0/4', '6/20', '0/1', '0/0', '81/98']
recall per class ['0/0', '0/3', '2/5', '12/24', '0/1', '0/0', '75/95']
recall per class ['0/0', '0/1', '6/11', '8/18', '0/1', '0/0', '73/97']
recall per class ['0/0', '0/3', '2/7', '3/16', '0/0', '0/0', '78/102']
recall per class ['0/1', '2/3', '6/11', '2/15', '0/1', '0/0', '73/97']
recall per class ['0/0', '0/3', '3/8', '9/18', '0/1', '0/0', '78/98']
recall per class ['0/0', '0/2', '3/6', '9/20', '0/1', '0/0', '68/99']
recall per class ['0/0', '0/3', '5/10', '8/14', '0/0', '0/0', '70/101']
recall per class ['0/0', '0/2', '7/10', '7/14', '0/1', '0/0', '80/101']
recall per class ['0/0', '1/5', '4/7', '10/19', '0/0', '0/0', '78/97']
recall per class ['0/0', '0/5', '1/7', '5/19', '0/3', '0/0', '76/94']
recall per class ['0/0', '0/2', '3/7', '9/19', '0/1', '0/0', '74/99']
recall per class ['0/0', '0/2', '3/7', '2/9', '0/1', '0/0', '92/109']
recall per class ['0/0', '0/2', '4/7', '3/21', '0/0', '0/0', '74/98']
recall per class ['0/0', '0/2', '3/6', '8/23', '0/1', '0/0', '79/96']
recall per class ['0/0', '0/2', '3/7', '8/17', '0/1', '0/0', '81/101']
recall per class ['0/0', '2/4', '3/5', '3/11', '0/1', '0/0', '94/107']
recall per class ['0/0', '0/2', '7/9', '6/16', '0/1', '0/0', '84/100']
recall per class ['0/0', '0/4', '1/8', '9/19', '0/2', '0/0', '77/95']
recall per class ['0/0', '0/3', '2/8', '9/17', '0/1', '0/0', '78/99']
recall per class ['0/0', '0/4', '9/13', '14/25', '0/0', '0/0', '71/86']
recall per class ['0/0', '0/1', '3/7', '6/15', '0/0', '0/0', '79/105']
recall per class ['0/1', '0/4', '0/3', '9/20', '0/2', '0/0', '74/98']
recall per class ['0/0', '0/2', '3/7', '12/24', '0/0', '0/0', '64/95']
recall per class ['0/0', '1/3', '3/5', '3/11', '0/3', '0/0', '76/106']
recall per class ['0/0', '0/1', '3/5', '6/17', '0/1', '0/0', '89/104']
recall per class ['0/0', '0/2', '4/9', '7/18', '0/0', '0/0', '80/99']
recall per class ['0/0', '1/4', '1/1', '9/21', '0/2', '0/0', '87/100']
recall per class ['0/0', '0/1', '4/6', '5/18', '0/3', '0/0', '76/100']
recall per class ['0/0', '0/1', '6/11', '5/14', '0/1', '0/0', '74/101']
recall per class ['0/0', '0/2', '3/5', '8/18', '0/0', '0/0', '84/103']
recall per class ['0/0', '0/4', '2/10', '9/17', '0/0', '0/0', '76/97']
recall per class ['0/0', '0/2', '3/6', '7/19', '0/0', '0/0', '73/101']
recall per class ['0/0', '1/2', '4/7', '6/17', '0/4', '0/0', '73/98']
recall per class ['0/0', '1/1', '6/8', '7/16', '0/3', '0/0', '79/100']
recall per class ['0/0', '1/6', '1/3', '7/13', '0/3', '0/0', '83/103']
recall per class ['0/0', '1/2', '3/4', '6/12', '0/0', '0/0', '87/110']
recall per class ['0/0', '0/1', '2/5', '4/13', '0/1', '0/0', '82/108']
recall per class ['0/0', '0/2', '5/7', '7/19', '0/0', '0/0', '78/100']
recall per class ['0/0', '0/2', '2/8', '6/16', '0/1', '0/0', '87/101']
recall per class ['0/0', '0/2', '3/5', '10/31', '0/3', '0/0', '73/87']
recall per class ['0/0', '0/2', '3/7', '11/18', '0/3', '0/0', '73/98']
