['0/0', '0/2', '7/7', '10/16', '0/0', '0/0', '86/103']
['0/0', '4/5', '4/4', '10/13', '0/0', '0/0', '88/106']
['0/0', '0/2', '6/8', '15/20', '0/1', '0/0', '77/97']
['0/0', '0/1', '7/8', '18/22', '1/2', '0/0', '78/95']
['0/0', '2/3', '3/4', '10/15', '1/1', '0/0', '91/105']
['0/0', '3/5', '8/8', '12/15', '2/2', '0/0', '81/98']
['0/0', '1/2', '4/4', '14/20', '0/0', '0/0', '83/102']
['0/0', '1/1', '6/6', '10/17', '1/2', '0/0', '77/102']
['0/0', '1/1', '10/10', '10/17', '0/0', '0/0', '83/100']
['0/0', '1/5', '6/7', '7/13', '1/1', '0/0', '80/102']
['0/0', '1/1', '10/11', '19/25', '0/0', '0/0', '74/91']
['0/0', '1/1', '5/5', '6/15', '0/0', '0/0', '90/107']
['0/0', '1/2', '11/11', '15/26', '0/1', '0/0', '71/88']
['0/0', '3/5', '10/11', '15/21', '1/1', '0/0', '73/90']
['0/0', '1/2', '8/9', '18/21', '1/1', '0/0', '78/95']
['0/0', '1/2', '5/5', '13/20', '0/1', '0/0', '88/100']
['0/1', '2/3', '8/8', '11/17', '1/2', '0/0', '74/97']
['0/0', '0/2', '4/4', '9/22', '0/1', '0/0', '88/99']
['0/0', '1/2', '9/11', '12/18', '1/2', '0/0', '85/95']
['0/0', '0/3', '7/7', '9/11', '0/0', '0/0', '88/107']
['0/0', '0/2', '2/3', '18/24', '0/0', '0/0', '87/99']
['0/0', '2/2', '3/3', '12/21', '0/0', '0/0', '85/102']
['0/0', '1/4', '4/4', '19/21', '0/1', '0/0', '83/98']
['0/0', '2/3', '5/5', '14/19', '1/1', '0/0', '84/100']
['0/0', '1/2', '4/5', '10/18', '0/0', '0/0', '91/103']
['0/0', '1/2', '5/7', '19/22', '0/0', '0/0', '83/97']
['0/0', '3/4', '5/5', '11/23', '1/1', '0/0', '90/95']
['0/0', '2/5', '8/8', '19/23', '1/2', '0/0', '75/90']
['0/0', '0/1', '5/6', '9/17', '1/1', '0/0', '86/103']
['0/0', '2/2', '4/4', '6/10', '0/0', '0/0', '95/112']
['0/0', '1/3', '5/6', '6/16', '0/1', '0/0', '88/102']
['0/0', '4/5', '10/10', '8/12', '3/3', '0/0', '85/98']
['0/0', '2/2', '5/5', '13/18', '1/1', '0/0', '92/102']
['0/0', '1/2', '7/7', '10/17', '0/3', '0/0', '86/99']
['0/0', '0/1', '9/10', '11/19', '1/1', '0/0', '88/97']
['0/0', '3/3', '5/6', '13/14', '1/1', '0/0', '89/104']
['0/0', '0/1', '6/6', '7/11', '0/0', '0/0', '91/110']
['0/0', '2/3', '5/6', '17/23', '1/2', '0/0', '84/94']
['0/0', '1/3', '5/6', '12/18', '0/1', '0/0', '84/100']
['0/0', '3/3', '11/12', '8/12', '0/0', '0/0', '83/101']
['0/0', '2/4', '7/7', '7/18', '0/1', '0/0', '88/98']
['0/0', '0/1', '6/10', '8/13', '0/0', '0/0', '85/104']
['0/0', '1/2', '7/9', '16/21', '0/0', '0/0', '76/96']
['0/0', '2/2', '5/5', '10/17', '1/3', '0/0', '87/101']
['0/0', '0/1', '9/9', '14/19', '1/1', '0/0', '79/98']
['0/0', '0/0', '7/7', '12/17', '1/1', '0/0', '86/103']
['0/0', '2/2', '6/6', '14/21', '0/1', '0/0', '86/98']
['0/0', '2/2', '2/2', '16/22', '0/0', '0/0', '89/102']
['0/0', '4/6', '0/0', '14/22', '1/1', '0/0', '87/99']
['0/0', '2/2', '8/8', '12/17', '1/1', '0/0', '87/100']
['0/0', '1/1', '3/4', '19/25', '0/0', '0/0', '87/98']
['0/0', '1/1', '4/4', '18/30', '1/1', '0/0', '78/92']
['0/0', '4/10', '10/10', '7/10', '1/1', '0/0', '83/97']
['0/0', '1/1', '8/9', '15/18', '1/1', '0/0', '85/99']
['0/0', '0/0', '6/6', '14/20', '1/1', '0/0', '85/101']
['0/0', '0/0', '7/7', '13/19', '1/3', '0/0', '81/99']
['0/0', '1/3', '7/7', '10/18', '0/1', '0/0', '79/99']
['0/0', '0/1', '8/8', '14/22', '1/3', '0/0', '80/94']
['0/0', '2/2', '6/6', '15/18', '1/1', '0/0', '86/101']
['0/0', '0/1', '9/10', '13/23', '1/1', '0/0', '85/93']
['0/0', '4/5', '9/10', '11/13', '0/0', '0/0', '84/100']
['0/0', '2/5', '1/3', '7/14', '1/2', '0/0', '94/104']
['0/0', '3/6', '6/6', '14/22', '0/0', '0/0', '79/94']
['0/1', '3/3', '6/6', '13/19', '1/1', '0/0', '77/98']
['0/0', '2/2', '4/4', '16/19', '1/2', '0/0', '86/101']
['0/0', '0/1', '7/7', '12/17', '1/1', '0/0', '88/102']
['0/0', '3/4', '4/4', '8/14', '1/1', '0/0', '88/105']
